time,src,dst,proto,sport,dport,size,hex
13:00:20,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001a3b7a0a3a01ded573780bbc431bfbbc8b4e3ebd909f7e193b2ec6
13:00:20,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001ac705b19782d801686e54c74398233b4b9fd8fe0ebbf2b713bf82
13:00:20,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:20,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:21,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001a6ef214d5ea606837af5579ef4f2f6620b4ebaaed9e090229664b
13:00:21,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:21,104.18.17.140,192.168.75.41,TCP,443,50673,28,1703030017cdb4c801923f6e345aebb2bff716db91ccb82c502fbee8
13:00:21,192.168.75.41,104.18.17.140,TCP,50673,443,32,170303001bacab54ed6de3a79864f98bb660015b85dd8dd4a9061b30f8b3774e
13:00:21,104.18.17.140,192.168.75.41,TCP,443,50673,6,000000000000
13:00:21,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001a010c4062a324064df0e177c8fd0fa6fe47fad67a9902fd50cf60
13:00:21,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001ab65aa5f23f81d0d9985388bb11d6b8cdad19b06284594e813549
13:00:21,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:21,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:22,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001a424d764ba604ba31064a4243e59b8d20f6783ef51c23a2efe193
13:00:22,192.168.75.41,210.220.163.82,UDP,61321,53,50,81e801000001000000000000066d6f62696c65066576656e7473046461746109
13:00:22,210.220.163.82,192.168.75.41,UDP,53,61321,173,81e881800001000300000000066d6f62696c65066576656e7473046461746109
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,0,
13:00:22,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:22,192.168.75.41,224.0.0.251,UDP,5353,5353,64,0000000000010000000000010c5f736c6565702d70726f7879045f756470056c
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,0,
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,0,
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,559,160301022a010002260303ddaa378b0643128859b7f6910e93d720bd969d250c
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,1460,16030300bb020000b70303c1b8d97c6697a5be961d76d5ddae4f377ddac59258
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,1460,2c2d1fef12d06f1e5e2a4c76a5257e499e9f68ada6fc964b6cf6b893bb3c0f0d
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,0,
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,1460,81a59d5d4fadd40938af5e2ea5a4963f2a00a2ee9c161f932fb5d26432c44c9e
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,1460,93ff740f7b79e0dae0403055fa433320734a4b8b21f56a8ab1e98c37b236d861
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,1460,cf285a7a039f111267eb0f7faeb935d57386018bcdf67348969b322175a98b88
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,1206,70453f921f51f24160aa67189aa73d11f832471eb711d49799486f4071782cea
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,0,
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,80,14030300010117030300456540099e3ef08512a0631cf86faa0c7c02498f50c9
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,1129,17030304640ebb1912ab4dacd2ce626a297749411b79c3b983b49aa585f3639e
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,1551,170303060a649c2d360f5b8b3a533801e00b4d3e5a243b78c2f9f8c793d98bd0
13:00:22,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001aef82a2d47d81b7ebdf536550df3e9d2242118b792072558ab67a
13:00:22,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001a6d3596ea31b41d5faef33b305edc7aa884aed053dc463b384d56
13:00:22,192.168.75.41,3.34.73.107,TCP,59210,443,41,170303002400000000000005f142adbc354e6ba12df8949b20be4b974611dde6
13:00:22,3.34.73.107,192.168.75.41,TCP,443,59210,35,170303001e00000000000005f14f2ec831865e2b7823981d31aea54c283b0ffd
13:00:22,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:22,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:22,192.168.75.41,3.34.73.107,TCP,59210,443,0,
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,6,000000000000
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,103,170303006244fa867a7ca9f136ef12b21624225b34b4ad04b839b1cb9e0f306a
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,0,
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,6,000000000000
13:00:22,52.182.143.208,192.168.75.41,TCP,443,59891,447,17030301ba86918892e8f4c3c85c3a90ed8abc237a2b2fd138f5eb84af18f929
13:00:22,192.168.75.41,52.182.143.208,TCP,59891,443,0,
13:00:23,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001acac88f185406f17dd97766440872a284739ac236ef892995310d
13:00:23,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:23,104.18.17.140,192.168.75.41,TCP,443,58930,28,17030300176aed58faedbcbc93c1311e512d896d7d3bb96f1fc94722
13:00:23,192.168.75.41,104.18.17.140,TCP,58930,443,32,170303001bf4b6cbbd97f9391e680b5bf63563ac665bc9be5efe397b7bf5746c
13:00:23,104.18.17.140,192.168.75.41,TCP,443,58930,6,000000000000
13:00:23,104.18.17.140,192.168.75.41,TCP,443,60931,28,1703030017734516c47a96390069ab1f6f57967f86a1ff1f429b99b9
13:00:23,192.168.75.41,104.18.17.140,TCP,60931,443,32,170303001b6976fd43e54c99a99e2f6f4d979d6976eb887f5dc27687b619a819
13:00:23,104.18.17.140,192.168.75.41,TCP,443,60931,6,000000000000
13:00:23,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001ab4e50b92e32493f8bd630fe90499495220b9569ca87a13ab9b86
13:00:23,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001afe72f75340c0e89dedf226a5f851ea52538b93e41f6807f3a2b3
13:00:23,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:23,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:24,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001afefcc8d75eb2c9ae9881d5e2f7778da249d0802d05b9bd4c66c5
13:00:24,3.34.73.107,192.168.75.41,TCP,443,59210,6,000000000000
13:00:24,192.168.75.41,3.34.73.107,TCP,59210,443,0,
13:00:24,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:24,104.18.17.140,192.168.75.41,TCP,443,50673,31,170303001acbb93c711948283b5898d6f87f4c675876b49c72db9b79ebf55c
13:00:24,104.18.17.140,192.168.75.41,TCP,443,58930,31,170303001a296b904b26ae350016b46906495dbf4fb219614fb576eb9d30e3
13:00:24,192.168.75.41,104.18.17.140,TCP,50673,443,0,
13:00:24,192.168.75.41,104.18.17.140,TCP,58930,443,0,
13:00:25,104.18.17.140,192.168.75.41,TCP,443,60931,31,170303001a8f984f3fc2569e15af8ad008c335a67ef2103084a356602b6b0b
13:00:25,192.168.75.41,104.18.17.140,TCP,60931,443,0,
13:00:25,192.168.75.41,210.220.163.82,UDP,61797,53,29,9fe901000001000000000000076368617467707403636f6d0000410001
13:00:25,192.168.75.41,210.220.163.82,UDP,55953,53,29,f48c01000001000000000000076368617467707403636f6d0000010001
13:00:25,210.220.163.82,192.168.75.41,UDP,53,61797,90,9fe981800001000000010000076368617467707403636f6d0000410001c00c00
13:00:25,210.220.163.82,192.168.75.41,UDP,53,55953,61,f48c81800001000200000000076368617467707403636f6d0000010001c00c00
13:00:25,192.168.75.41,172.64.155.209,UDP,64420,443,1250,cb0000000108fce187a520ee9335000044d054a247be264c4a7987e29b371985
13:00:25,192.168.75.41,172.64.155.209,UDP,64420,443,1250,c00000000108fce187a520ee9335000044d0b00c30a542872f1f04c2155aa5e1
13:00:25,172.64.155.209,192.168.75.41,UDP,443,64420,1200,c8000000010014016c892ec2cbd258836e102eb7cbd847c944b71d0040167eff
13:00:25,172.64.155.209,192.168.75.41,UDP,443,64420,1200,c6000000010014016c892ec2cbd258836e102eb7cbd847c944b71d004492db83
